Date,DELTA_LAST,DELTA_ASK,DELTA_BID,DELTA_MID,OP_LAST,OP_ASK,OP_BID,OP_MID,IVOL_LAST,IVOL_ASK,IVOL_BID,IVOL_MID,PX_LAST,PX_ASK,PX_BID,PX_MID
19/07/2024,,0.629,0.629,0.629,26.5,26.7,26.45,26.58,,46.434,45.914,46.174,151.58,151.65,151.61,151.63
2024/7/22,,0.657,0.657,0.657,28.55,28.95,28.75,28.85,,45.522,45.209,45.366,155.87,155.88,155.84,155.86
2024/7/23,,0.645,0.645,0.645,28.77,27.95,27.45,27.7,,45.469,45.155,45.312,154,154.02,154,154.01
2024/7/24,0.579,0.584,0.583,0.584,22.1,22.3,22.05,22.18,46.414,46.507,46.081,46.294,144.63,144.63,144.62,144.625
2024/7/25,,0.536,0.535,0.535,19,18.9,18.7,18.8,,46.842,46.402,46.622,138.32,138.32,138.28,138.3
2024/7/26,0.545,0.545,0.544,0.544,19.45,19.5,19.25,19.38,46.462,46.421,46.093,46.257,139.99,140.02,140.01,140.015
2024/7/29,0.548,0.543,0.543,0.543,19.52,19.1,18.95,19.02,46.23,46.162,45.832,45.997,139.75,139.77,139.75,139.76
2024/7/30,,0.536,0.535,0.535,18.85,18.5,18.15,18.33,,46.592,46.038,46.315,138.44,138.43,138.42,138.425
2024/7/31,0.578,0.575,0.575,0.575,21.35,21.65,20,20.83,45.254,45.545,45.004,45.274,144.48,144.53,144.49,144.51
2024/8/1,0.483,0.485,0.484,0.485,15.3,15.55,15.3,15.43,46.886,46.884,46.535,46.709,132.54,132.58,132.54,132.56
2024/8/2,0.487,0.491,0.49,0.49,15.9,16.25,16.05,16.15,48.914,48.861,48.511,48.686,132.5,132.57,132.53,132.55
2024/8/5,,0.515,0.513,0.514,18.25,18.45,18.15,18.3,,51.699,51.007,51.353,134.82,134.87,134.85,134.86
2024/8/6,,0.474,0.472,0.473,15,15.05,14.75,14.9,,49.251,48.653,48.952,130.18,130.15,130.13,130.14
2024/8/7,0.46,0.463,0.46,0.461,14.2,14.35,14.05,14.2,48.953,49.348,48.74,49.044,128.67,128.7,128.65,128.675
2024/8/8,,0.511,0.51,0.51,17.05,17.4,17.15,17.27,,47.725,47.38,47.552,136.32,136.41,136.37,136.39
2024/8/9,,0.495,0.494,0.494,15.75,15.95,15.65,15.8,,46.904,46.554,46.729,134.27,134.32,134.28,134.3
2024/8/12,,0.512,0.511,0.511,16.74,16.85,16.7,16.77,,46.547,46.201,46.374,136.77,136.8,136.78,136.79
2024/8/13,0.542,0.543,0.543,0.543,18.5,18.65,18.45,18.55,45.456,45.537,45.199,45.368,141.13,141.18,141.15,141.165
2024/8/14,0.54,0.541,0.54,0.54,18.2,18.2,18.05,18.13,45.177,45.153,44.701,44.927,140.75,140.72,140.71,140.715
2024/8/15,,0.591,0.591,0.591,22.32,22.2,21.95,22.08,,45.681,45.349,45.515,147.36,147.4,147.38,147.39
2024/8/16,0.598,0.602,0.601,0.601,22.8,23,22.8,22.9,46.025,46.044,45.712,45.878,148.56,148.58,148.55,148.565
2024/8/19,,0.646,0.646,0.646,27.15,27.25,27.05,27.15,,46.493,46.051,46.272,155.28,155.31,155.3,155.305
2024/8/20,0.661,0.656,0.656,0.656,28.9,28.15,27.95,28.05,47.211,47.028,46.585,46.806,156.4,156.41,156.4,156.405
2024/8/21,,0.663,0.664,0.664,28.66,28.9,28.6,28.75,,46.74,46.407,46.573,157.81,157.81,157.78,157.795
2024/8/22,,0.622,0.622,0.622,24.79,25.2,24.95,25.08,,47.405,47.071,47.238,151.7,151.78,151.75,151.765
2024/8/23,0.638,0.644,0.644,0.644,26.26,26.75,26.5,26.63,46.546,46.57,46.125,46.347,154.98,154.98,154.97,154.975
2024/8/26,0.612,0.609,0.609,0.609,23.99,23.75,23.55,23.65,47.177,47.144,46.806,46.975,149.99,150,149.99,149.995
2024/8/27,0.61,0.611,0.611,0.611,23.65,23.75,23.55,23.65,46.678,46.662,46.211,46.437,150.5,150.55,150.54,150.545
2024/8/28,,0.582,0.582,0.582,21.28,21.25,21.05,21.15,,46.634,46.292,46.463,146.36,146.32,146.31,146.315
2024/8/29,0.573,0.573,0.573,0.573,20.3,20.45,20.2,20.33,45.836,45.985,45.641,45.813,145.49,145.51,145.48,145.495
2024/8/30,0.593,0.595,0.594,0.594,21.58,21.85,21.55,21.7,45.288,45.292,44.836,45.064,148.56,148.57,148.56,148.565
2024/9/3,0.504,0.506,0.505,0.506,15.85,15.85,15.7,15.77,46.852,46.931,46.689,46.81,136.94,137.04,137.01,137.025
2024/9/4,0.53,0.538,0.537,0.537,17.5,17.9,17.75,17.83,47.084,46.96,46.605,46.783,140.87,140.88,140.87,140.875
2024/9/5,0.524,0.522,0.522,0.522,17.1,17.1,16.95,17.02,47.033,47.021,46.781,46.901,139.44,139.48,139.47,139.475
2024/9/6,,0.482,0.482,0.482,14.4,14.65,14.5,14.58,,47.573,47.323,47.448,134.35,134.4,134.37,134.385
2024/9/9,0.508,0.51,0.509,0.51,16.02,16.3,16.15,16.23,47.322,47.279,46.912,47.095,138.15,138.23,138.2,138.215
2024/9/10,0.542,0.551,0.551,0.551,18.4,19.05,18.9,18.98,48.096,48.119,47.881,48,142.84,142.88,142.84,142.86
2024/9/11,,0.605,0.605,0.605,23.07,23.2,22.85,23.03,,48.217,47.983,48.1,149.86,149.88,149.85,149.865
2024/9/12,0.609,0.609,0.609,0.609,23.4,23.4,23.25,23.33,48.097,48.056,47.704,47.88,150.77,150.83,150.82,150.825
2024/9/13,0.62,0.621,0.62,0.621,24.08,24,23.75,23.88,47.355,47.287,46.936,47.112,152.31,152.33,152.31,152.32
2024/9/16,0.615,0.618,0.618,0.618,23.4,23.55,23.35,23.45,47.205,46.926,46.572,46.749,152.08,152.1,152.08,152.09
2024/9/17,,0.606,0.606,0.606,22.22,22.65,22.45,22.55,,46.703,46.229,46.466,150.82,150.82,150.8,150.81
