Date,DELTA_LAST,DELTA_ASK,DELTA_BID,DELTA_MID,OP_LAST, OP_ASK, OP_BID,OP_MID, IVOL_LAST, IVOL_ASK, IVOL_BID, IVOL_MID,PX_LAST,PX_ASK,PX_BID,PX_MID
2024/7/19,0.15,0.157,0.15,0.153,11.85,14.8,11.85,13.33,32.518,32.801,32.08,32.443,633.34,633.83,633.28,633.555
2024/7/22,0.166,0.173,0.164,0.169,13.5,14.3,13.3,13.8,31.973,32.471,31.548,32.014,647.5,647.88,647.46,647.67
2024/7/23,#N/A N/A,0.161,0.156,0.158,#N/A N/A,12.85,12.15,12.5,#N/A N/A,31.981,31.437,31.711,642.76,642.46,642.38,642.42
2024/7/24,0.153,0.158,0.151,0.154,12.05,13,11.6,12.3,32.404,32.763,32.042,32.405,635.99,636.35,635.89,636.12
2024/7/25,0.138,0.159,0.149,0.154,10.55,12.8,11.65,12.23,32.725,33.204,32.115,32.665,634.09,634.2,633.89,634.045
2024/7/26,0.144,0.147,0.142,0.144,11.18,12.2,10.35,11.27,32.707,32.724,32.214,32.471,631.37,631.47,631.26,631.365
2024/7/29,#N/A N/A,0.139,0.129,0.134,#N/A N/A,10.55,9.75,10.15,#N/A N/A,32.629,31.498,32.071,626.96,626.89,626.6,626.745
2024/7/30,#N/A N/A,0.135,0.127,0.131,#N/A N/A,11.6,8.1,9.85,#N/A N/A,32.721,31.84,32.285,622.58,622.38,622.29,622.335
2024/7/31,#N/A N/A,0.137,0.128,0.133,#N/A N/A,10.85,8.45,9.65,#N/A N/A,32.356,31.354,31.861,628.35,628.16,627.96,628.06
2024/8/1,#N/A N/A,0.133,0.121,0.127,#N/A N/A,9.9,9,9.45,#N/A N/A,32.631,31.353,32.002,624.85,624.87,624.34,624.605
2024/8/2,0.125,0.126,0.118,0.122,9.25,9.25,8.55,8.9,33.433,33.602,32.657,33.135,613.64,613.61,613.24,613.425
2024/8/5,0.101,0.119,0.094,0.107,6.95,8.35,6.9,7.63,33.701,35.233,32.182,33.773,598.55,599.07,598.33,598.7
2024/8/6,#N/A N/A,0.114,0.107,0.111,#N/A N/A,7.85,7.3,7.57,#N/A N/A,33.168,32.357,32.767,609.57,609.57,609.32,609.445
2024/8/7,#N/A N/A,0.12,0.108,0.114,#N/A N/A,8.7,5.9,7.3,#N/A N/A,33.676,32.3,33.001,611.48,611.72,611.19,611.455
